Series_Name,Number_of_episodes,Number_of_seasons,Genre,Year_released,End_year,Avg_runtime,Rating,Number_of_raters,Number_of_reviews,Number_of_critics_review,Keywords,pos_neg,joy_sad
Game of Thrones,73,8,Action,2011,2019,57,9.3,1717092,4506,335,based on novel dragon politics queen nudity incest war between families bloody violence twins incest brother sister incest bastard son civil war king kingdom family conflict prince husband wife relationship royalty dwarf murder swordplay witchcraft forced marriage male nudity abuse of power prostitution sorcery vow of chastity child bride political conflict brother sister relationship infidelity magic illegitimate son family relationships mythical kingdom sex scene secret fictional war horseback riding vow of abstinence evil king betrayal usurper sibling rivalry archery priestess rivalry mother son relationship nobility belief in gods sadistic cruelty religious differences sword and sorcery exile female nudity sword and fantasy power struggle seer misfortune held hostage bow and arrow twin brother paralysis sister sister relationship father son relationship mother daughter relationship middle ages intrigue older man young girl relationship missing hand swordsman fortification eunuch half brother half sister relationship squire medieval times sexism night watch knight religion witch three word title imprisonment beheading loveless marriage amputee male objectification necromancy tent twin sister half brother half brother relationship brother brother relationship manipulation cunning brother sister romance 2010s a song of ice and fire epic fantasy fictional continent westeros essos iron throne throne reference to the wars of the roses fictional world alternate world dynasty mad king madness insanity monarch monarchy family relationship high fantasy political intrigue religious religious belief undead wizard women in war warfare fictional universe dark fantasy speculative fiction amoral amorality violence dystopian fantasy darkness profanity brother and sister in love with each other feudal landlord love hatred leadership bastard assassins barbarian literature on screen american literature on screen 20th century literature on screen 21st century literature on screen fantasy literature on screen american fantasy literature on screen bald man alternate reality political fiction grimdark dystopia dystopian fiction grim darkness grim f word good guys win power game,Negative,Sad
Breaking Bad,62,5,Crime,2008,2013,49,9.5,1405422,2914,173,cancer crystal meth albuquerque new mexico chemistry methamphetamine drug drug trade chemistry teacher drug lord meth lab drug enforcement agency father figure drug cartel cerebral palsy anti hero drug dealing danger black comedy shared universe neo western marriage criminal investigation car friendship friend bitterness sadness wrath anger shot to death weapon risk homicide revolver lawyer violence unlikely friendship cancer patient science teacher illegal drug drug use family man scene before opening credits science drug humor partnership husband wife relationship friendship between men father son relationship dea agent lung cancer bald man recreational vehicle multiple sex scenes neo noir cell phone 2000s new mexico downward spiral gunslinger contemporary western modern western male protagonist columbia tristar death money secret street criminal laughter hat dark secret lie police officer police grudge home house car driving chemical telephone call telephone chemist evil corruption smiling fury rage quarrel argument shooting drug addiction gun donation desert wheelchair dysfunctional family unlikely criminal brother in law brother in law relationship uncle nephew relationship older man younger man relationship psychopath motor home camper midlife crisis teaching teacher student relationship pregnancy personal quest murder medical illness made for cable tv investigation explosion drug enforcement title spoken by character actor shares first name with character federal bureau of investigation 2010s spaghetti western man wears eyeglasses blackboard classroom trailer crying joy swimming pool,Negative,Joy
Friends,235,10,Comedy,1994,2004,22,8.9,794073,1554,55,friendship friend new york city roommate divorce love life boyfriend girlfriend relationship famous opening theme best friend paleontologist coffeehouse actor laugh track 21st century 1990s sitcom brother sister relationship ensemble cast situation comedy ex husband ex wife relationship sex life friendship between men friendship between women scene at a window group of friends kiss womanizer husband wife relationship neighbor 20th century one word series title wisecrack humor monkey 2000s f rated male friendship male female friendship female friendship male bonding female bonding aspiring actor waitress guitar player sex lesbian woman lesbian couple lesbian sex scene cult classic cult tv female protagonist flirting knee high boots musician jewish,Positive,Joy
Sherlock,15,4,Crime,2010,2017,88,9.1,784848,810,115,government conspiracy cover up 1980s mk ultra propaganda friendship monster single mother forest russian missing person mother son relationship telekinesis missing child teenager russophobia cranberry night bullying bicycle hospital secret laboratory indiana walkie talkie brother brother relationship small town funeral parallel universe abduction male objectification child boy flashback group of friends androgyny neo 80s middle school friend small town sheriff small town police chief nosebleed van fictional town family relationships fictional city 80s nostalgia 20th century period drama communism netflix original androgynous female fight chase teacher lightbulb dog telephone investigation wall cat retro horror lynchian police teenage girl little girl missing friend high school flash forward rural police chief missing girl missing boy missing son deputy short haired female police station mother daughter relationship small town policeman boyfriend girlfriend relationship alternate dimension paranormal phenomena retro hazmat suit school compass flickering lights tattooed number on arm psychokinesis photography swimming pool brother sister relationship danger fear insult chief of police worry nerd government coverup lab experiment human experiment secret experiment usa united states of america bicycle riding web series netflix original series girl soviet union reference to ronald reagan teenage rain bathroom hamburger netflix photograph flashlight water kiss alien number as a name suspense psychotronic series supernatural power paranormal phenomenon cold war surrealism bully gun friendship between boys name calling gift two word title cigarette smoking worried friend worried mother lesbian working mother teenage boy fire wig blood pudding,Negative,Joy
Stranger Things,34,4,Drama,2016,NA,51,8.8,779139,2337,331,friendship modernized setting detective based on novel genius deduction murder consulting detective platonic relationship brilliant mind doctor private detective british investigation police detective asexuality friendship between men organized crime partner scotland yard inspector army doctor apartment london england 2010s afghanistan veteran police inspector landlady mastermind mysterious villain science sociopath male protagonist asexual interest friends who live together brother brother relationship 21st century character name as series title forename as series title sherlock holmes character series title spoken by character dr. john watson character modern day adaptation scene of the crime eccentric police two man army anti hero criminal mastermind rivalry one word series title mysterious woman workaholic eccentricity based on short story,Positive,Joy
Dexter,106,9,Crime,2006,2021,53,8.6,632705,753,232,double life police department dark secret homicide serial murder latex gloves forensic evidence childhood trauma adopted son murder scene of the crime talking to the dead tied to a table police station police sergeant secret life boyfriend girlfriend relationship mutilation dark past criminal investigation father son relationship brother sister relationship vigilantism sadist stalker psycho murderer psychopathic murderer male protagonist brother brother relationship psychopath psychopathy husband wife relationship stepfather stepdaughter relationship stepfather stepson relationship mother son relationship internal monologue microscope slide satire moral ambiguity sadism police lieutenant police captain photograph perfectionist black gloves stalking police officer hypodermic needle violence forensic science blood sample anti hero miami florida psychological trauma police detective death of mother,Negative,Sad
Chernobyl,5,1,Drama,2019,NA,66,9.4,503424,3063,105,tv mini series propaganda nuclear accident ussr soviet union radiation nuclear radiation pollution chernobyl disaster death nuclear power nuclear technician government official radiation poisoning abandoned city abandoned building chernobyl ukraine deserted city abandoned house gas mask nuclear reactor swedish actor playing foreigner year 1986 cranberry nuclear power plant fallout failure mishap geiger counter 1980s ukraine unhealthy based on true story government coverup fire russophobia pripyat ukraine explosion place name in title hospital interrogation abandoned car confusion smoke british actor playing foreigner suicide flashback sequence marriage ensemble cast april ukrainian soviet socialist republic cold war disaster cover up disaster movie disaster film based on historical event scientist helicopter crash nuclear fallout atomic cloud kgb violence blood slow motion scene kiss one word title helicopter dead bird moscow cow dog cat communism carcass male frontal nudity pripyat based on real person 20th century title spoken by character,Negative,Sad
True Detective,24,3,Crime,2014,NA,55,9,487388,833,161,police investigation police detective southern gothic murder anthology louisiana violence infidelity breasts nipples female nudity police corruption california swamp buddy buddy cop murder investigation mysterious man clue anti natalism occupation in series title serial murder name calling nickname boobs seasonal anthology series lynchian corrupt cop husband wife relationship deep south caucasian,Negative,Sad
House of Cards,73,6,Drama,2013,2018,51,8.7,458481,816,166,breaking the fourth wall political corruption government corruption media manipulation machiavellianism husband wife relationship deception the white house male protagonist columbia tristar remake political power mass media new media fourth estate journalist u.s. capitol building politician manipulation journalism u.s. president washington d.c. strategy u.s. congress politics power direct address u.s. vice president,Negative,Joy
Black Mirror,22,5,Drama,2011,NA,60,8.8,423599,739,102,anthology satire dystopian future dystopia netflix original psychological thriller dark satire social satire political satire news satire grotesque farce pop culture future london england anthology series near future technology humanity inhumanity dehumanization interpersonal relationship human connection privacy alienation disconnection life love sexuality work unintended consequences neo noir netflix original series two word series title color in series title connection,Negative,Sad
Westworld,29,4,Drama,2016,NA,62,8.7,414954,1394,149,artificial intelligence robot android based on film moral dilemma theme park murder consciousness future human android relationship human versus machine scientist replicant old west remake reference to tombstone arizona one word title amorality malfunction reference to arizona love ptsd prostitute profanity scalping one word series title reference to julian jaynes san francisco california soap opera love triangle sexual tension psychotronic series,Negative,Joy
Vikings,93,6,Action,2013,NA,44,8.5,407287,787,72,viking king hero sword and shield sex scene brother brother relationship nudity legend warrior family relationships battle mythological character valhalla raid saxon norse mythology monk father son relationship homoerotic female frontal nudity female nudity bare chested male husband wife relationship monastery infidelity cheating wife seduction skinny dipping voyeur anglo saxon norse deity scandinavia blood 8th century male protagonist bigotry violence death revenge sword axe ambush,Negative,Joy
House M.D.,176,8,Drama,2004,2012,44,8.7,406479,565,52,misanthropy hospital cult favorite medical doctor maverick doctor doctor patient pain medicine misanthrope colleague dark comedy black comedy camera shot from inside human body british actor playing american character mysterious illness atheist prescription drug abuse surgery health problem female doctor deduction black doctor human anatomy medical treatment medical examination medical clinic illness sarcasm brilliant mind character name as series title surname as series title cult tv african american black american male protagonist latex gloves medical mask sex talk sexual humor humor vital signs magnetic resonance imaging medical profession sudden illness prescription medical report death argument actress shares first name with character prescription drug addiction friendship between men friend medical care intensive care intensive care unit vicodin investigation health employer employee relationship elevator brain blood blood sample labor relations nurse pancreas lupus syringe stethoscope revelation microscope injection infection hypodermic needle friendship eccentricity doctor patient relationship blood test analysis x ray radiography medication jacket anatomy sickness medical test irony diagnosis co worker arrogance science cane famous opening theme reference to doctor john watson acronym in series title woman wears eyeglasses man wears eyeglasses new jersey reference to sherlock holmes reference to vertigo sexuality title ends with period period in title limping doubt computer screen blonde best friend stomach stairs scalpel pencil lungs loneliness intestines heart female boss ball x rayed skeleton sliding door anger pill,Negative,Sad
The Office,188,9,Comedy,2005,2013,22,8.9,386126,1127,66,mockumentary sitcom cringe comedy office job employment workplace office romance employer employee relationship satire scranton pennsylvania bullying bully workplace bullying workplace abuse pantyhosed leg man wears eyeglasses woman wears eyeglasses fake documentary fourth wall frat pack romantic tension pretzel prank beet farm accountant office temp remake pennsylvania 2010s 2000s breaking the fourth wall famous line cult tv based on british tv series tension downsizing closeted homosexual awkward silence alcoholic actor shares first name with character title spoken by character,Negative,Joy
Band of Brothers,10,1,Action,2001,NA,59,9.4,364952,820,32,airborne troops american abroad u.s. soldier american soldier 20th century 1940s weapon netherlands france paris france belgium austria world war two soldier germany u.s. military 101st airborne europe soldier comradeship behind enemy lines tv mini series war drama uniform military uniform military sniper rifle violence war violence blood battlefield m1 rifle world war two veteran world war two blood splatter steel helmet dead soldier dead man combat casualty military officer sergeant infantry shot to death shot in the face shot in the chest war hero tank sniper purple heart platoon nazi germany medic machine gun loss of friend jeep heroism head wound hand grenade german soldier exploding building courage combat zone best friend bayonet shot in the leg severed arm drunkenness shot in the neck shot in the forehead gore exploding body dismemberment death army base paratrooper army life based on true story based on book mp 40 machine gun tommy gun slaughter tough guy explosion bombardment cannon 50 calibre machine gun self sacrifice,Negative,Sad
Rick and Morty,42,5,Animation,2013,NA,23,9.2,358744,560,51,scientist satire social satire adult animation grandfather grandson relationship shock humor monster character names as series title three word series title multiverse adult humor dark comedy sitcom parody f word gross out comedy political satire sardonic cartoon painful humor scatological humor crude humor forenames as series title surrealism alcoholic mad scientist nihilism family relationships brother sister relationship father son relationship mother daughter relationship husband wife relationship male protagonist adult swim absurdist humour absurdist animation absurd humor 2d animation,Neutral,Sad
