Series_Name	Number_of_episodes	Number_of_seasons	Genre	Year_released	End_year	Avg_runtime	Rating	Number_of_raters	Number_of_reviews	Number_of_critics_review
Game of Thrones	73	8	Action	2011	2019	57	9.3	1717092	4506	335
Breaking Bad	62	5	Crime	2008	2013	49	9.5	1405422	2914	173
Friends	235	10	Comedy	1994	2004	22	8.9	794073	1554	55
Sherlock	15	4	Crime	2010	2017	88	9.1	784848	810	115
Stranger Things	34	4	Drama	2016	NA	51	8.8	779139	2337	331
Dexter	106	9	Crime	2006	2021	53	8.6	632705	753	232
Chernobyl	5	1	Drama	2019	NA	66	9.4	503424	3063	105
True Detective	24	3	Crime	2014	NA	55	9	487388	833	161
House of Cards	73	6	Drama	2013	2018	51	8.7	458481	816	166
Black Mirror	22	5	Drama	2011	NA	60	8.8	423599	739	102
Westworld	29	4	Drama	2016	NA	62	8.7	414954	1394	149
Vikings	93	6	Action	2013	NA	44	8.5	407287	787	72
House M.D.	176	8	Drama	2004	2012	44	8.7	406479	565	52
The Office	188	9	Comedy	2005	2013	22	8.9	386126	1127	66
Band of Brothers	10	1	Action	2001	NA	59	9.4	364952	820	32
Rick and Morty	42	5	Animation	2013	NA	23	9.2	358744	560	51
The Simpsons	691	32	Animation	1989	NA	22	8.7	358492	804	132
Daredevil	39	3	Action	2015	2018	54	8.6	355392	929	190
Narcos	30	3	Biography	2015	2017	49	8.8	343983	388	72
South Park	309	24	Animation	1997	NA	22	8.7	325804	494	134
Mr. Robot	46	4	Crime	2015	2019	49	8.6	323640	915	106
Peaky Blinders	37	7	Crime	2013	NA	60	8.8	316347	738	79
Fargo	41	4	Crime	2014	NA	53	8.9	313863	476	105
Better Call Saul	63	6	Crime	2015	NA	46	8.7	309567	724	110
The Sopranos	86	6	Crime	1999	2007	55	9.2	290314	557	84
The Wire	60	5	Crime	2002	2008	59	9.3	277052	501	69
Arrested Development	84	5	Comedy	2003	NA	22	8.7	272407	402	57
Dark	26	3	Crime	2017	2020	60	8.8	259482	3093	167
Sons of Anarchy	92	7	Crime	2008	2014	45	8.6	252581	463	83
Seinfeld	173	9	Comedy	1989	1998	22	8.8	248898	493	33
Firefly	14	1	Adventure	2002	2003	44	9	240386	779	72
Avatar: The Last Airbender	66	3	Animation	2005	2008	23	9.2	236192	602	55
Hannibal	39	3	Crime	2013	2015	44	8.5	222611	575	110
Death Note	37	1	Animation	2006	2007	24	9	221886	444	33
Spartacus	34	3	Action	2010	2013	55	8.5	219314	421	71
Community	110	6	Comedy	2009	2015	22	8.5	209081	351	68
Parks and Recreation	125	7	Comedy	2009	2020	22	8.6	205751	294	42
Mindhunter	19	2	Crime	2017	NA	60	8.6	203090	721	108
Mad Men	92	7	Drama	2007	2015	47	8.6	202097	363	170
The Boys	17	3	Action	2019	NA	60	8.7	201241	1808	88
The Mandalorian	17	3	Action	2019	NA	40	8.7	199588	1953	57
Doctor Who	190	12	Adventure	2005	NA	45	8.6	196472	798	213
Shameless	127	11	Comedy	2011	NA	46	8.6	195790	427	49
The X-Files	217	11	Crime	1993	2018	45	8.6	195189	410	163
It's Always Sunny in Philadelphia	154	15	Comedy	2005	NA	22	8.8	186255	317	76
The Punisher	26	2	Action	2017	2019	53	8.5	177383	743	86
Twin Peaks	30	2	Crime	1990	1991	47	8.8	170721	255	129
Boardwalk Empire	57	5	Crime	2010	2014	55	8.5	169381	206	126
The Haunting of Hill House	10	1	Drama	2018	NA	57	8.7	165184	2205	88
Planet Earth	11	1	Documentary	2006	NA	49	9.4	163867	89	9
Downton Abbey	52	6	Drama	2010	2015	58	8.7	158771	227	77
Rome	22	2	Action	2005	2007	52	8.7	152020	257	29
Battlestar Galactica	74	4	Action	2004	2009	44	8.7	150463	763	104
Attack on Titan	69	4	Animation	2013	NA	24	8.8	149863	575	46
Big Little Lies	14	2	Crime	2017	2019	60	8.5	147538	457	59
Archer	119	11	Animation	2009	NA	22	8.6	134786	167	56
The IT Crowd	25	5	Comedy	2006	2013	25	8.5	130592	156	20
Freaks and Geeks	18	1	Comedy	1999	2000	44	8.8	126763	207	37
Spartacus: Gods of the Arena	6	1	Action	2011	NA	55	8.5	124725	66	22
Silicon Valley	53	6	Comedy	2014	2019	28	8.5	123248	209	36
The Crown	60	6	Drama	2016	NA	58	8.7	120511	424	68
Six Feet Under	63	5	Comedy	2001	2005	55	8.7	118806	314	48
The Night Of	9	1	Crime	2016	NA	58	8.5	115125	215	55
Fullmetal Alchemist: Brotherhood	69	1	Animation	2009	2012	24	9.1	111483	215	15
Dragon Ball Z	277	16	Animation	1996	2003	24	8.7	110438	165	35
One Punch Man	24	2	Animation	2015	NA	24	8.8	108576	243	21
Cosmos: A Spacetime Odyssey	13	1	Documentary	2014	NA	43	9.3	108471	170	12
Top Gear	300	29	Adventure	2002	NA	60	8.7	107264	133	27
BoJack Horseman	77	6	Animation	2014	2020	25	8.7	105502	412	64
The Newsroom	25	3	Drama	2012	2014	55	8.6	102601	308	56
Mr. Bean	15	1	Comedy	1990	1995	25	8.5	99753	69	14
Curb Your Enthusiasm	101	11	Comedy	2000	NA	28	8.7	99739	243	33
Star Trek: The Next Generation	176	7	Action	1987	1994	44	8.6	98133	270	147
This Is Us	75	6	Comedy	2016	NA	45	8.7	98117	463	40
The Office	14	3	Comedy	2001	2003	30	8.5	96442	213	38
Planet Earth II	6	1	Documentary	2016	NA	50	9.5	92720	120	6
Deadwood	36	3	Crime	2004	2006	55	8.6	92718	308	67
"Love, Death & Robots"	19	2	Animation	2019	NA	15	8.5	90791	710	42
Fleabag	12	2	Comedy	2016	2019	27	8.7	88396	473	40
Oz	56	6	Crime	1997	2003	55	8.7	87307	181	29
Leyla and Mecnun	104	3	Adventure	2011	2014	80	9.1	87171	58	3
Cowboy Bebop	26	1	Animation	1998	1999	24	8.9	86266	245	63
Batman: The Animated Series	85	4	Animation	1992	1995	23	9	84982	147	28
Making a Murderer	20	2	Documentary	2015	NA	60	8.6	84974	432	22
When They See Us	4	1	Biography	2019	NA	74	8.9	84410	639	45
Justified	78	6	Action	2010	2015	44	8.6	84320	253	59
Fawlty Towers	12	2	Comedy	1975	1979	30	8.7	83364	175	25
Naruto: Shipp?en	502	1	Animation	2007	2017	24	8.6	77219	183	24
Last Week Tonight with John Oliver	205	7	Comedy	2014	NA	30	8.9	77172	105	12
Cobra Kai	31	4	Action	2018	NA	30	8.7	74815	1384	46
Adventure Time	289	10	Animation	2010	2018	11	8.6	74426	185	46
The Marvelous Mrs. Maisel	27	4	Comedy	2017	NA	57	8.7	74291	590	54
Pride and Prejudice	6	1	Drama	1995	NA	55	8.8	74208	431	18
Louie	61	5	Comedy	2010	2015	22	8.5	73794	70	52
Sacred Games	16	2	Action	2018	NA	50	8.7	70902	776	26
The Shield	89	7	Crime	2002	2008	47	8.7	70646	417	65
The Last Dance	10	1	Documentary	2020	NA	49	9.2	69530	419	25
The Twilight Zone	156	5	Drama	1959	1964	51	9	69314	174	76
Gravity Falls	40	2	Animation	2012	2016	23	8.9	69111	220	8
